,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
323,Lauri Markkanen,UTA,62,31,31,34.4,25.4,51.2,32.0,1.8,2.16,1.07,0.496,1.8,1.5,4.3,1.126,0.589,1.216
324,LeBron James,LAL,47,24,23,36.1,29.5,79.6,37.8,5.8,4.36,3.27,0.371,3.0,3.9,3.8,0.782,0.53,1.124
325,Leandro Bolmaro,UTA,14,8,6,4.9,0.4,8.2,3.4,0.6,4.53,4.24,0.052,0.1,0.0,0.4,0.0,0.0,0.0
326,Lindell Wigginton,MIL,2,1,1,1.5,1.0,3.0,1.5,0.1,2.7,2.67,0.333,0.0,0.0,0.0,0.0,0.0,0.0
327,Lindy Waters III,OKC,33,16,17,12.1,5.1,15.0,9.8,0.4,1.63,0.94,0.338,0.1,0.0,0.3,0.667,0.0,0.636
328,Lonnie Walker IV,LAL,51,23,28,24.5,12.2,26.6,16.0,1.4,3.11,2.43,0.459,0.4,0.0,0.6,0.7,0.0,0.909
329,Luguentz Dort,OKC,63,31,32,30.3,13.9,37.0,22.0,1.9,3.13,2.65,0.376,0.4,0.1,2.2,0.36,0.0,0.657
330,Luka Doncic,DAL,57,31,26,36.3,33.0,90.4,34.1,9.4,6.22,5.42,0.365,0.7,4.7,1.1,0.658,0.703,1.1
331,Luka Garza,MIN,25,14,11,9.3,7.1,16.1,10.4,0.4,1.56,0.61,0.439,0.8,0.7,2.6,0.2,1.059,1.234
332,Luke Kennard,MEM,48,28,20,21.0,7.8,25.4,15.9,0.9,2.17,1.29,0.308,0.3,0.0,0.2,0.571,0.0,0.545
333,Luke Kornet,BOS,58,37,21,11.5,3.8,12.3,7.5,0.3,1.25,0.29,0.307,0.6,0.1,3.1,0.594,0.5,1.039
334,Malachi Flynn,TOR,45,23,22,13.2,4.6,26.8,12.3,1.8,4.04,3.38,0.172,0.1,0.0,0.2,0.4,0.0,0.444
335,Malaki Branham,SAS,53,11,42,22.8,9.4,35.4,15.0,2.2,3.7,3.3,0.266,0.3,0.0,0.4,1.0,0.0,1.053
336,Malcolm Brogdon,BOS,59,41,18,25.8,14.7,52.6,21.5,3.9,4.47,4.45,0.279,0.4,0.0,0.8,0.792,0.0,0.787
337,Malcolm Hill,CHI,4,3,1,2.0,1.3,2.0,1.3,0.1,2.13,1.13,0.625,0.0,0.0,0.0,0.0,0.0,0.0
338,Malik Beasley,LAL,70,36,34,26.7,13.2,35.7,21.9,1.4,2.37,1.7,0.369,0.3,0.0,0.4,1.0,0.0,0.846
339,Malik Monk,SAC,66,41,25,22.6,13.7,40.6,25.3,1.9,2.86,2.41,0.337,0.3,0.0,1.0,0.5,0.0,0.846
340,Mamadi Diakite,CLE,18,13,5,6.7,1.7,9.1,5.1,0.3,1.71,0.43,0.184,0.7,0.0,1.0,0.167,0.0,0.444
341,MarJon Beauchamp,MIL,42,28,14,13.8,5.2,14.6,10.3,0.5,2.14,1.5,0.357,0.2,0.0,0.9,0.444,0.0,0.462
342,Marcus Morris Sr.,LAC,60,33,27,28.2,11.6,37.5,24.5,1.3,2.15,1.13,0.308,1.1,1.6,0.6,0.712,0.804,0.97
343,Marcus Smart,BOS,54,38,16,32.5,11.3,60.7,25.9,4.1,4.09,3.36,0.187,0.5,1.2,1.2,0.32,0.406,0.523
344,Mark Williams,CHA,37,15,22,17.7,8.2,19.8,11.0,0.5,1.49,0.42,0.416,1.7,0.9,5.4,0.698,0.735,1.165
345,Markelle Fultz,ORL,49,23,26,29.9,13.8,67.4,21.9,5.6,5.0,4.71,0.205,0.5,0.5,2.0,0.538,0.462,0.847
346,Markieff Morris,DAL,32,16,16,9.7,3.3,13.5,8.3,0.4,1.6,0.5,0.245,0.3,0.3,0.6,0.25,0.444,0.667
347,Marko Simonovic,CHI,2,0,2,1.8,0.0,3.5,2.0,0.1,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Marvin Bagley III,DET,33,6,27,22.6,11.3,33.5,19.2,1.1,1.95,0.79,0.336,1.8,2.1,4.6,0.797,0.456,1.053
349,Mason Plumlee,LAC,67,21,46,27.3,11.6,43.2,26.4,1.6,2.21,1.02,0.269,2.9,1.7,7.4,0.492,0.5,0.875
350,Matisse Thybulle,POR,63,36,27,15.8,3.9,14.3,8.2,0.3,1.29,0.57,0.275,0.2,0.0,1.2,0.1,0.0,0.662
351,Matt Ryan,MIN,32,14,18,9.5,3.8,11.1,7.7,0.3,1.5,0.61,0.344,0.1,0.0,0.2,0.0,0.0,1.2
352,Matthew Dellavedova,SAC,27,16,11,6.6,1.4,15.1,5.0,1.2,4.63,4.55,0.091,0.1,0.0,0.1,0.0,0.0,0.667
353,Max Christie,LAL,38,16,22,13.3,3.4,13.0,7.2,0.4,1.94,1.21,0.26,0.1,0.0,0.4,0.4,0.0,0.267
354,Max Strus,MIA,69,36,33,29.0,11.7,45.5,27.3,1.3,1.71,0.87,0.258,0.4,0.0,1.3,0.9,0.0,0.966
355,Maxi Kleber,DAL,29,17,12,25.6,6.1,32.6,17.3,0.7,1.3,0.3,0.188,0.9,0.1,2.1,0.154,1.0,0.8
356,McKinley Wright IV,DAL,24,13,11,11.6,3.6,22.5,8.6,1.7,4.58,4.39,0.159,0.1,0.0,0.3,0.0,0.0,0.0
357,Meyers Leonard,MIL,6,5,1,8.5,4.0,10.7,6.0,0.2,1.26,0.17,0.375,0.5,0.2,1.7,1.0,0.0,0.9
358,Mfiondu Kabengele,BOS,2,1,1,7.0,1.0,7.0,3.5,0.1,1.2,0.14,0.143,0.0,0.0,2.5,0.0,0.0,0.4
359,Micah Potter,UTA,3,2,1,4.8,1.3,8.3,2.7,0.2,1.67,0.36,0.16,0.3,0.0,0.7,2.0,0.0,2.0
360,Michael Foster Jr.,PHI,1,1,0,1.0,0.0,1.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Michael Porter Jr.,DEN,53,36,17,28.9,17.2,36.4,23.0,1.2,1.98,1.0,0.472,1.5,0.2,2.0,0.813,0.727,1.13
362,Mikal Bridges,BKN,71,36,35,36.0,19.1,50.9,31.0,2.2,2.65,2.03,0.375,1.3,0.6,1.7,0.632,0.634,0.837
363,Mike Conley,MIN,56,27,29,30.2,11.1,69.6,28.1,5.9,5.06,4.63,0.16,0.3,0.0,0.4,0.471,0.0,0.435
364,Mike Muscala,BOS,52,24,28,14.9,6.1,27.4,13.4,0.5,1.13,0.26,0.222,0.6,0.1,1.4,0.6,0.333,0.764
365,Miles McBride,NYK,56,32,24,12.0,3.5,18.7,9.0,1.1,3.56,3.12,0.188,0.2,0.0,0.3,1.091,0.0,0.526
366,Mitchell Robinson,NYK,49,29,20,27.3,7.5,26.4,13.2,0.6,1.3,0.29,0.285,0.6,0.3,7.5,0.069,0.571,0.935
367,Mo Bamba,LAL,47,23,24,16.2,6.8,25.6,15.1,0.7,1.69,0.45,0.266,0.9,0.4,2.7,0.475,0.526,1.056
368,Monte Morris,WAS,56,26,30,27.8,10.3,58.7,22.7,4.9,4.99,4.58,0.175,0.2,0.0,0.3,0.455,0.0,0.471
369,Montrezl Harrell,PHI,51,32,19,12.3,5.5,17.1,11.2,0.5,1.84,0.8,0.324,1.4,1.1,3.4,0.571,0.691,0.942
370,Moritz Wagner,ORL,49,22,27,20.4,11.0,37.3,22.9,1.1,1.73,0.56,0.294,2.1,0.3,3.6,0.798,0.923,0.966
371,Moses Brown,BKN,34,16,18,8.5,4.6,11.6,5.2,0.3,1.55,0.41,0.391,0.6,0.1,3.4,1.364,1.2,1.077
372,Moses Moody,GSW,53,28,25,13.1,4.3,14.5,10.5,0.5,2.12,1.29,0.299,0.3,0.0,0.7,0.857,0.0,0.842
373,Moussa Diabate,LAC,18,8,10,9.5,2.9,8.1,4.7,0.3,1.96,0.83,0.363,0.6,0.1,2.2,0.182,0.0,0.825
374,Myles Turner,IND,58,28,30,29.6,17.9,43.0,30.3,1.1,1.56,0.52,0.415,3.4,2.1,6.4,0.773,0.926,1.088
375,Naji Marshall,NOP,65,31,34,24.7,9.5,41.1,21.7,1.8,2.59,1.92,0.231,0.4,0.0,1.0,0.87,1.5,0.823
376,Nassir Little,POR,48,22,26,17.3,6.2,21.0,11.8,0.7,2.08,1.25,0.297,0.2,0.0,0.7,0.875,0.0,0.606
377,Nathan Knight,MIN,35,17,18,8.0,3.7,11.4,6.7,0.4,2.09,1.08,0.325,0.4,0.3,1.1,0.733,0.4,0.868
378,Naz Reid,MIN,62,28,34,18.1,10.7,35.9,20.7,1.0,1.65,0.76,0.299,1.8,1.0,2.6,0.694,0.565,0.988
379,Neemias Queta,SAC,4,1,3,6.1,3.0,7.8,4.3,0.2,1.32,0.26,0.387,0.8,0.0,2.0,0.667,0.0,1.25
380,Nerlens Noel,BKN,17,4,13,11.5,2.1,15.2,7.1,0.4,1.72,0.58,0.135,1.4,0.0,2.1,0.125,0.0,0.4
381,Nic Claxton,BKN,65,35,30,29.5,12.5,40.4,22.7,1.2,1.8,0.61,0.308,3.7,0.4,8.2,0.419,0.36,0.979
382,Nick Richards,CHA,57,17,40,18.1,7.8,22.5,12.0,0.6,1.51,0.31,0.346,1.4,0.6,5.0,0.805,0.441,1.073
383,Nickeil Alexander-Walker,MIN,48,22,26,15.4,6.5,30.1,11.3,2.2,4.45,3.85,0.218,0.2,0.0,0.2,0.556,0.0,1.1
384,Nicolas Batum,LAC,66,37,29,21.8,6.0,28.9,15.8,0.6,1.28,0.41,0.208,0.5,0.0,0.9,0.313,2.0,0.814
385,Nikola Jokic,DEN,62,44,18,33.9,24.8,98.8,52.4,4.4,2.69,1.44,0.251,9.7,9.3,7.9,0.561,0.543,1.077
386,Nikola Jovic,MIA,15,7,8,13.6,5.5,23.2,13.3,0.7,1.82,0.8,0.236,1.3,0.0,1.7,0.947,0.0,0.885
387,Nikola Vucevic,CHI,68,31,37,34.0,17.8,67.7,46.1,1.6,1.45,0.5,0.263,4.0,5.5,6.2,0.561,0.501,0.971
388,Noah Vonleh,BOS,23,17,6,7.5,1.1,9.5,3.7,0.3,1.83,0.93,0.115,0.3,0.2,1.1,0.0,0.0,0.615
389,Norman Powell,LAC,54,27,27,25.8,16.6,36.0,23.3,1.8,3.01,2.55,0.463,0.4,0.1,0.6,0.381,0.0,0.848
390,O.G. Anunoby,TOR,56,27,29,35.7,16.7,47.2,30.5,1.8,2.31,1.47,0.354,0.8,1.8,3.1,0.696,0.272,0.809
391,Obi Toppin,NYK,56,31,25,14.4,6.3,22.8,12.1,0.6,1.45,0.56,0.274,0.3,0.1,1.6,0.813,0.4,0.865
392,Ochai Agbaji,UTA,46,25,21,17.6,5.9,17.6,10.7,0.4,1.5,0.89,0.334,0.4,0.0,0.9,0.471,0.0,0.775
393,Olivier Sarr,OKC,3,1,2,10.7,2.3,12.7,5.0,0.3,1.36,0.26,0.184,0.3,0.0,2.0,3.0,0.0,0.667
394,Omer Yurtseven,MIA,3,2,1,8.4,2.3,11.0,7.0,0.3,1.7,0.39,0.212,0.3,1.0,2.3,0.0,0.667,1.0
