,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
343,Marvin Bagley III,DET,28,6,22,21.5,32.6,1.6,0.7,1.1,63.3,0.1,0.1,75.0,1.5,95.6,0.4,22.2,0.0,0.0,0.1,6.7,0.0,2.2
344,Mason Plumlee,LAC,62,17,45,27.8,44.3,3.0,0.5,1.0,57.6,0.4,0.6,63.9,1.5,49.5,1.6,52.7,0.4,23.2,0.1,3.7,0.3,9.6
345,Matisse Thybulle,POR,55,34,21,14.1,12.3,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,12.5,0.1,50.0,0.0,0.0,0.0,12.5,0.0,12.5
346,Matt Ryan,MIN,32,14,18,9.5,11.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,75.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Matthew Dellavedova,SAC,26,15,11,6.2,14.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Max Christie,LAL,37,15,22,13.7,13.3,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,40.0,0.1,60.0,0.0,33.3,0.0,0.0,0.0,0.0
349,Max Strus,MIA,61,31,30,29.9,47.6,0.5,0.2,0.2,78.6,0.0,0.0,100.0,0.4,89.3,0.2,42.9,0.0,25.0,0.0,0.0,0.0,3.6
350,Maxi Kleber,DAL,24,14,10,25.3,31.2,1.0,0.1,0.3,33.3,0.0,0.0,0.0,0.2,17.4,0.7,73.9,0.2,23.5,0.0,0.0,0.0,0.0
351,McKinley Wright IV,DAL,20,11,9,10.3,18.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Meyers Leonard,MIL,4,4,0,6.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Mfiondu Kabengele,BOS,2,1,1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Micah Potter,UTA,3,2,1,4.8,8.3,0.3,0.3,0.3,100.0,0.0,0.0,0.0,0.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Michael Foster Jr.,PHI,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Michael Porter Jr.,DEN,46,33,13,29.2,37.1,1.5,0.4,0.7,60.6,0.3,0.3,85.7,1.2,79.4,0.4,29.4,0.1,25.0,0.2,10.3,0.2,10.3
357,Mikal Bridges,BKN,63,31,32,36.0,50.4,1.5,0.4,0.7,59.6,0.1,0.1,100.0,1.0,65.2,0.5,37.0,0.1,17.6,0.1,5.4,0.0,2.2
358,Mike Conley,MIN,49,24,25,29.8,68.9,0.3,0.1,0.1,75.0,0.0,0.0,100.0,0.2,53.3,0.1,40.0,0.0,16.7,0.0,13.3,0.0,6.7
359,Mike Muscala,BOS,48,23,25,15.0,28.2,0.6,0.2,0.3,50.0,0.0,0.0,50.0,0.4,62.1,0.3,41.4,0.0,8.3,0.0,0.0,0.0,3.4
360,Miles McBride,NYK,50,29,21,12.0,18.8,0.2,0.1,0.1,83.3,0.0,0.0,0.0,0.2,125.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0
361,Mitchell Robinson,NYK,42,25,17,27.0,26.7,0.7,0.0,0.1,25.0,0.0,0.0,0.0,0.0,7.1,0.5,75.0,0.0,9.5,0.0,0.0,0.0,3.6
362,Mo Bamba,LAL,45,22,23,16.6,26.3,0.9,0.2,0.3,61.5,0.1,0.2,37.5,0.4,48.7,0.4,43.6,0.1,17.6,0.1,12.8,0.1,10.3
363,Monte Morris,WAS,51,25,26,28.1,59.5,0.2,0.0,0.0,100.0,0.0,0.0,0.0,0.1,30.0,0.2,80.0,0.0,25.0,0.0,10.0,0.0,0.0
364,Montrezl Harrell,PHI,51,32,19,12.3,17.1,1.4,0.3,0.5,57.1,0.1,0.2,70.0,0.8,57.1,0.6,44.3,0.1,16.1,0.0,2.9,0.1,7.1
