,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
263,Josh Green,DAL,48,23,25,25.1,4.6,1.0,1.8,57.1,0.5,0.7,81.3,2.6,57.3,1.9,40.9,0.4,8.2,0.4,8.6,0.3,7.3
264,Josh Hart,NYK,64,35,29,32.7,4.0,0.8,1.5,51.0,0.4,0.5,75.0,2.0,50.0,1.9,48.1,0.4,10.9,0.3,6.6,0.3,6.2
265,Josh Minott,MIN,12,5,7,6.1,0.7,0.1,0.5,16.7,0.0,0.0,0.0,0.2,25.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Josh Okogie,PHX,57,30,27,16.8,3.2,0.5,1.1,43.3,0.6,0.9,66.7,1.6,49.2,1.2,39.2,0.4,11.6,0.3,8.8,0.5,14.9
267,Josh Richardson,NOP,50,15,35,24.3,5.4,1.0,2.2,47.2,0.3,0.4,83.3,2.4,44.2,2.5,46.8,0.7,13.8,0.4,6.7,0.2,3.3
268,Joshua Primo,SAS,4,3,1,23.3,7.5,1.0,2.0,50.0,0.8,1.0,75.0,2.8,36.7,4.0,53.3,0.8,10.0,1.0,13.3,0.5,6.7
269,Jrue Holiday,MIL,55,41,14,33.0,12.1,2.8,5.2,53.3,1.0,1.2,82.4,6.7,55.4,5.3,43.9,1.4,11.5,0.7,5.8,0.6,5.1
270,Juan Toscano-Anderson,UTA,38,15,23,12.0,1.1,0.1,0.4,33.3,0.0,0.0,0.0,0.3,25.0,0.5,47.5,0.1,5.0,0.1,12.5,0.0,0.0
271,Juancho Hernangomez,TOR,42,20,22,14.6,0.2,0.0,0.1,33.3,0.0,0.0,0.0,0.0,22.2,0.1,55.6,0.0,0.0,0.0,0.0,0.0,0.0
272,Julian Champagnie,SAS,4,2,2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Julius Randle,NYK,70,40,30,35.9,9.4,1.9,3.7,50.6,1.2,1.7,74.4,5.2,54.9,3.9,41.8,1.1,11.9,0.7,7.0,0.8,9.0
274,Justin Champagnie,TOR,3,2,1,3.6,0.3,0.3,0.3,100.0,0.0,0.0,0.0,0.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Justin Holiday,DAL,36,15,21,15.6,0.4,0.1,0.1,66.7,0.0,0.0,0.0,0.1,28.6,0.3,71.4,0.1,14.3,0.0,7.1,0.0,0.0
276,Justin Jackson,BOS,23,15,8,4.7,0.4,0.0,0.1,33.3,0.0,0.0,0.0,0.1,20.0,0.3,70.0,0.1,30.0,0.0,0.0,0.0,0.0
277,Justise Winslow,POR,29,15,14,26.8,3.7,0.5,1.5,34.1,0.1,0.3,50.0,1.2,32.1,1.6,42.5,0.4,11.3,0.4,10.4,0.1,3.8
278,Jusuf Nurkic,POR,48,23,25,26.7,0.8,0.3,0.5,65.2,0.1,0.2,70.0,0.8,97.4,0.1,17.9,0.0,2.6,0.1,7.7,0.1,12.8
279,KZ Okpala,SAC,35,19,16,7.1,0.6,0.1,0.2,33.3,0.1,0.1,100.0,0.2,27.3,0.4,59.1,0.1,9.1,0.0,4.5,0.0,4.5
280,Kai Jones,CHA,35,9,26,9.2,0.7,0.1,0.4,35.7,0.1,0.2,50.0,0.4,56.0,0.2,24.0,0.0,4.0,0.1,8.0,0.1,12.0
281,Karl-Anthony Towns,MIN,21,10,11,33.8,7.3,1.9,3.4,55.6,1.7,1.9,90.0,5.7,78.4,2.1,28.8,0.5,6.5,0.5,6.5,1.0,13.1
282,Kawhi Leonard,LAC,41,26,15,33.4,10.8,2.6,4.4,59.3,1.4,1.7,83.8,7.0,64.2,4.9,45.0,0.9,8.3,0.4,3.4,0.9,7.9
283,Keegan Murray,SAC,64,39,25,29.6,2.2,0.5,1.1,47.1,0.2,0.2,85.7,1.3,57.3,0.8,35.7,0.2,7.0,0.2,7.7,0.1,4.9
284,Keita Bates-Diop,SAS,52,13,39,21.5,2.8,0.7,1.6,42.9,0.4,0.6,70.0,1.9,67.6,0.7,24.3,0.3,9.5,0.2,5.4,0.3,10.1
285,Keldon Johnson,SAS,56,15,41,32.7,12.4,3.5,7.1,49.1,1.9,2.5,77.0,9.2,74.0,3.1,25.3,0.6,4.6,0.7,5.7,1.3,10.1
286,Kelly Olynyk,UTA,56,26,30,28.3,4.2,0.8,1.6,50.0,0.6,0.7,90.0,2.4,57.9,1.5,36.6,0.5,12.8,0.5,11.9,0.4,8.5
287,Kelly Oubre Jr.,CHA,44,15,29,32.7,7.1,2.2,4.9,45.6,1.0,1.5,67.2,5.8,81.1,0.9,12.5,0.2,2.9,0.4,5.1,0.7,10.3
288,Kemba Walker,DAL,9,5,4,16.0,5.3,1.3,2.2,60.0,1.0,1.3,75.0,3.8,70.8,2.2,41.7,0.6,10.4,0.1,2.1,0.7,12.5
289,Kendall Brown,IND,6,1,5,6.7,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0
290,Kendrick Nunn,WAS,58,28,30,13.8,3.4,0.6,1.6,40.7,0.1,0.2,88.9,1.4,43.1,1.4,40.5,0.4,11.3,0.3,9.7,0.1,2.1
291,Kennedy Chandler,MEM,28,18,10,8.3,2.1,0.4,1.1,33.3,0.0,0.1,33.3,0.7,33.9,0.9,40.7,0.5,22.0,0.1,3.4,0.0,1.7
292,Kenneth Lofton Jr.,MEM,12,8,4,3.4,0.5,0.2,0.3,66.7,0.1,0.2,50.0,0.4,83.3,0.2,33.3,0.2,33.3,0.0,0.0,0.1,16.7
293,Kenrich Williams,OKC,53,26,27,22.8,2.6,0.4,0.9,42.6,0.1,0.2,30.0,0.8,31.9,1.4,52.2,0.3,10.9,0.2,6.5,0.1,3.6
294,Kentavious Caldwell-Pope,DEN,65,45,20,31.7,1.9,0.4,0.8,51.0,0.2,0.3,75.0,1.1,55.6,0.8,40.3,0.2,12.1,0.2,8.9,0.2,8.1
