,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
441,Russell Westbrook,LAC,70,29.1,2.2,0.7,2.4,31.3,0.7,2.3,31.7,47.0
442,Ryan Arcidiacono,POR,20,8.6,1.1,0.4,0.9,38.9,0.4,0.9,38.9,58.3
443,Ryan Rollins,GSW,12,5.2,0.8,0.3,0.6,42.9,0.3,0.6,42.9,64.3
444,Saben Lee,PHX,22,13.7,0.8,0.3,0.5,50.0,0.3,0.5,50.0,75.0
445,Saddiq Bey,ATL,73,27.8,4.6,1.6,4.1,38.4,1.5,3.9,38.5,56.9
446,Sam Hauser,BOS,76,15.6,4.6,1.5,3.6,42.5,1.5,3.6,42.6,63.6
447,Sam Merrill,CLE,3,3.6,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0
448,Sandro Mamukelashvili,SAS,39,14.2,1.7,0.6,2.1,26.5,0.6,2.1,27.2,39.8
449,Santi Aldama,MEM,75,22.0,3.5,1.2,3.2,37.5,1.1,3.1,36.5,55.2
450,Scottie Barnes,TOR,73,35.0,2.1,0.7,2.5,29.6,0.6,2.1,30.9,42.7
451,Scotty Pippen Jr.,LAL,6,5.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
452,Serge Ibaka,MIL,16,11.6,0.9,0.3,1.1,27.8,0.3,1.1,29.4,41.7
453,Seth Curry,BKN,58,20.4,3.4,1.2,2.9,40.4,1.1,2.7,40.0,58.5
454,Shaedon Sharpe,POR,77,21.9,2.7,0.9,2.0,44.8,0.9,1.9,45.3,66.6
455,Shai Gilgeous-Alexander,OKC,66,35.5,0.8,0.3,0.8,35.7,0.2,0.7,31.9,49.1
456,Shake Milton,PHI,73,20.0,2.0,0.7,1.6,43.1,0.6,1.5,41.1,62.9
457,Shaquille Harrison,POR,2,21.1,3.0,1.0,1.0,100,1.0,1.0,100,150.0
458,Simone Fontecchio,UTA,48,13.9,2.9,1.0,2.7,35.1,1.0,2.7,35.4,52.7
459,Skylar Mays,POR,2,30.1,3.0,1.0,3.0,33.3,1.0,3.0,33.3,50.0
460,Spencer Dinwiddie,BKN,76,34.5,3.4,1.1,2.7,42.0,1.1,2.6,42.3,62.7
461,Stanley Johnson,SAS,30,15.6,1.6,0.6,1.2,47.2,0.5,1.1,45.5,68.1
462,Stanley Umude,DET,1,2.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
463,Stephen Curry,GSW,53,34.9,6.5,2.2,5.3,41.1,2.1,5.2,41.0,61.0
464,Sterling Brown,LAL,4,6.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
465,Steven Adams,MEM,42,27.0,0.1,0.0,0.1,33.3,0.0,0.0,0.0,33.3
466,Svi Mykhailiuk,CHA,29,12.7,2.4,0.8,1.7,49.0,0.8,1.6,47.8,71.4
467,T.J. McConnell,IND,74,20.3,0.6,0.2,0.6,33.3,0.2,0.5,32.5,46.9
