,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
474,Tony Bradley,CHI,11,4,7,2.9,1232.5,0.23,0.12,0.12,4.35,4.68,4.07
475,Torrey Craig,PHX,65,36,29,25.4,10644.4,2.02,1.07,0.95,4.45,4.68,4.22
476,Trae Young,ATL,62,32,30,35.0,13177.7,2.5,1.38,1.12,3.98,4.45,3.52
477,Tre Jones,SAS,54,16,38,29.0,12260.2,2.32,1.27,1.05,4.48,4.94,4.04
478,Tre Mann,OKC,58,26,32,18.2,7338.1,1.39,0.74,0.65,4.29,4.63,3.95
479,Trendon Watford,POR,51,24,27,17.6,6718.0,1.27,0.7,0.57,4.01,4.31,3.69
480,Trent Forrest,ATL,18,6,12,13.3,5284.4,1.0,0.52,0.48,4.18,4.34,4.02
481,Trevelin Queen,IND,7,2,5,10.0,4149.6,0.79,0.43,0.36,4.4,5.01,3.83
482,Trevor Hudgins,HOU,5,0,5,5.7,2196.6,0.42,0.23,0.19,4.07,4.39,3.76
483,Trevor Keels,NYK,2,2,0,1.9,756.0,0.14,0.08,0.07,4.21,5.67,2.78
484,Trey Lyles,SAC,61,37,24,16.7,6917.7,1.31,0.69,0.62,4.34,4.69,4.0
485,Trey Murphy III,NOP,65,30,35,29.7,11757.2,2.23,1.15,1.08,4.21,4.41,4.01
486,Troy Brown Jr.,LAL,62,30,32,24.7,10015.5,1.9,0.99,0.9,4.34,4.58,4.11
487,Ty Jerome,GSW,44,21,23,18.5,7161.3,1.36,0.78,0.58,4.08,4.59,3.56
488,TyTy Washington Jr.,HOU,30,5,25,13.8,5159.7,0.98,0.53,0.44,3.98,4.29,3.66
489,Tyler Dorsey,DAL,3,2,1,2.8,909.3,0.17,0.09,0.08,3.35,3.97,2.72
490,Tyler Herro,MIA,56,30,26,35.4,14232.0,2.7,1.48,1.21,4.28,4.63,3.92
491,Tyrese Haliburton,IND,54,28,26,33.7,13582.9,2.57,1.44,1.14,4.28,4.91,3.68
492,Tyrese Martin,ATL,13,8,5,3.5,1437.5,0.27,0.15,0.12,4.21,4.48,3.93
493,Tyrese Maxey,PHI,48,32,16,32.9,13376.7,2.53,1.38,1.15,4.32,4.62,4.02
494,Tyus Jones,MEM,67,41,26,23.4,9561.0,1.81,0.98,0.83,4.32,4.69,3.95
