,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
235,Jaylin Williams,OKC,48,18.6,22,26,0.6,0.3,4.0,2.2,3.0,73.3
236,Jayson Tatum,BOS,73,37.2,51,22,1.1,0.7,7.8,2.2,3.2,67.4
237,Jeenathan Williams,POR,2,21.2,1,1,1.5,1.0,1.0,1.0,2.5,40.0
238,Jeff Dowtin Jr.,TOR,25,10.3,17,8,0.4,0.1,0.7,0.2,0.4,54.5
239,Jeff Green,DEN,54,19.6,33,21,0.3,0.3,1.9,1.5,2.2,67.5
240,Jerami Grant,POR,63,35.6,28,35,0.8,0.8,3.7,1.9,2.8,66.5
241,Jeremiah Robinson-Earl,OKC,41,18.8,14,27,0.6,0.3,2.5,1.9,3.1,61.2
242,Jeremy Sochan,SAS,55,26.1,15,40,0.8,0.4,3.5,2.2,3.4,64.9
243,Jericho Sims,NYK,51,15.4,31,20,0.3,0.5,2.7,1.6,2.5,63.3
244,Jevon Carter,MIL,79,22.4,57,22,0.8,0.4,2.1,0.8,1.1,73.5
245,Jimmy Butler,MIA,63,33.5,34,29,1.9,0.3,3.7,1.4,2.0,74.0
246,Jock Landale,PHX,66,14.0,34,32,0.2,0.5,2.3,1.9,3.3,57.8
247,Joe Harris,BKN,73,20.7,39,34,0.5,0.2,1.9,1.3,1.9,68.6
248,Joe Ingles,MIL,45,22.8,32,13,0.7,0.1,2.5,0.9,1.1,81.6
249,Joe Wieskamp,TOR,7,4.8,5,2,0.0,0.0,0.4,0.1,0.3,50.0
250,Joel Embiid,PHI,65,34.7,43,22,1.0,1.7,8.5,5.0,8.2,61.1
251,John Butler Jr.,POR,16,8.8,4,12,0.3,0.4,0.6,0.7,1.1,64.7
252,John Collins,ATL,70,30.0,37,33,0.6,1.0,5.4,3.2,5.0,63.4
253,John Konchar,MEM,70,20.4,44,26,1.0,0.3,3.4,1.5,2.1,71.3
254,John Wall,LAC,34,22.2,15,19,0.8,0.4,2.3,1.2,1.7,73.7
255,Johnny Davis,WAS,26,13.3,9,17,0.3,0.3,1.8,0.9,1.2,74.2
256,Johnny Juzang,UTA,15,12.4,5,10,0.2,0.2,1.7,0.9,1.3,65.0
257,Jonas Valanciunas,NOP,77,25.0,39,38,0.3,0.6,7.2,3.4,5.1,67.4
258,Jonathan Isaac,ORL,11,11.3,8,3,1.3,0.4,2.6,0.4,0.7,50.0
259,Jonathan Kuminga,GSW,65,20.8,36,29,0.6,0.4,2.4,1.6,2.5,63.0
260,Jordan Clarkson,UTA,61,32.6,30,31,0.5,0.2,2.9,2.2,3.2,66.7
261,Jordan Goodwin,WAS,60,17.6,21,39,0.9,0.4,2.3,1.2,1.9,61.6
262,Jordan Hall,SAS,9,9.2,1,8,0.1,0.0,1.0,0.8,0.8,100.0
263,Jordan McLaughlin,MIN,41,15.6,20,21,0.8,0.1,1.0,0.5,0.7,75.0
264,Jordan Nwora,IND,60,19.0,35,25,0.4,0.2,2.8,1.2,1.7,73.3
265,Jordan Poole,GSW,79,30.3,41,38,0.8,0.3,2.3,1.1,1.5,73.3
266,Jordan Schakel,WAS,2,3.1,0,2,0.5,0.0,0.0,0.0,0.0,0.0
267,Jose Alvarado,NOP,61,21.5,30,31,1.1,0.2,1.9,1.2,1.4,83.5
268,Josh Christopher,HOU,62,11.9,14,48,0.5,0.2,0.8,0.6,0.8,69.2
269,Josh Giddey,OKC,75,31.1,33,42,0.7,0.4,5.9,2.0,3.1,65.2
270,Josh Green,DAL,60,25.7,27,33,0.7,0.1,2.1,1.3,1.7,78.0
271,Josh Hart,NYK,74,32.4,42,32,1.2,0.3,5.9,2.3,3.3,70.9
272,Josh Minott,MIN,14,6.5,6,8,0.3,0.4,1.4,0.9,1.4,60.0
273,Josh Okogie,PHX,69,18.4,37,32,0.8,0.5,1.9,1.0,1.6,62.5
274,Josh Richardson,NOP,62,23.6,23,39,1.0,0.3,2.0,1.6,2.0,79.7
275,Joshua Primo,SAS,4,23.3,3,1,0.3,0.5,2.8,1.5,2.8,54.5
