,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
152,Franz Wagner,ORL,72,29,43,33.0,34.8,42.4,3.5,0.4,7.1,9.5,4.4,10.2,12.7,
153,Fred VanVleet,TOR,60,29,31,37.0,62.8,69.9,7.0,0.7,13.1,17.5,8.3,11.2,13.2,
154,Furkan Korkmaz,PHI,29,21,8,9.4,9.4,10.5,0.7,0.2,1.5,1.6,0.9,7.0,9.5,
155,Gabe Vincent,MIA,59,32,27,26.3,32.1,35.2,2.5,0.3,4.9,6.5,3.1,7.7,9.6,
156,Garrett Temple,NOP,21,13,8,7.0,6.7,6.1,0.6,0.1,1.0,1.3,0.8,8.6,12.1,
157,Garrison Mathews,ATL,49,14,35,12.8,9.6,9.9,0.5,0.1,0.8,1.3,0.6,5.1,6.2,
158,Gary Harris,ORL,42,18,24,25.0,14.3,18.0,1.2,0.2,2.4,3.1,1.5,8.3,10.5,
159,Gary Payton II,GSW,15,8,7,17.0,19.1,11.8,1.5,0.1,3.0,4.0,1.7,7.7,8.7,
160,Gary Trent Jr.,TOR,63,30,33,32.6,22.2,32.5,1.6,0.3,3.3,4.2,2.0,7.1,9.1,
161,George Hill,IND,41,26,15,18.7,26.0,25.3,2.4,0.2,4.2,6.0,2.8,9.3,10.6,
162,Georges Niang,PHI,68,46,22,19.2,21.2,16.0,1.0,0.1,1.5,2.8,1.2,4.9,5.8,
163,Giannis Antetokounmpo,MIL,56,42,14,32.5,46.0,55.7,5.6,0.7,11.3,14.9,6.4,12.1,14.0,
164,Goga Bitadze,ORL,29,9,20,10.4,12.0,9.0,0.9,0.1,1.3,2.3,1.0,7.8,8.6,
165,Goran Dragic,MIL,50,22,28,15.5,26.1,27.3,2.7,0.3,4.8,6.9,3.5,10.5,13.2,
166,Gordon Hayward,CHA,47,18,29,31.5,32.2,34.6,4.0,0.6,7.1,10.2,4.9,12.4,15.2,
167,Gorgui Dieng,SAS,25,2,23,10.0,14.3,13.0,1.4,0.0,2.7,3.6,1.6,9.8,10.9,
168,Grant Williams,BOS,70,48,22,26.6,21.9,17.7,1.7,0.2,2.7,4.7,2.0,7.8,9.0,
169,Grayson Allen,MIL,65,48,17,27.8,25.3,25.2,2.3,0.5,4.3,6.1,3.0,9.1,11.7,
170,Greg Brown III,POR,16,10,6,5.8,2.8,3.2,0.2,0.0,0.3,0.5,0.2,6.7,6.7,
171,Hamidou Diallo,DET,55,12,43,17.7,18.3,15.9,1.0,0.1,1.6,2.5,1.1,5.4,6.0,
