,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
298,Kenyon Martin Jr.,HOU,73,18,55,27.6,0.0,0.0,0.1,12.5,0.0,0.1,0.0,12.5
299,Keon Ellis,SAC,13,6,7,3.9,0.7,0.2,0.4,60.0,0.2,0.3,75.0,90.0
300,Keon Johnson,POR,37,13,24,9.1,0.9,0.4,1.3,27.1,0.2,0.6,34.8,35.4
301,Kessler Edwards,SAC,26,12,14,9.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
302,Kevin Durant,PHX,42,29,13,35.7,12.0,5.6,10.2,55.0,0.8,2.2,37.2,59.1
303,Kevin Huerter,SAC,66,39,27,29.6,4.1,1.6,3.6,43.5,1.0,2.2,45.1,57.2
304,Kevin Knox II,POR,53,11,42,12.7,0.4,0.2,0.6,27.3,0.0,0.3,12.5,30.3
305,Kevin Love,MIA,55,31,24,20.4,0.9,0.4,1.0,35.1,0.2,0.7,30.0,45.6
306,Kevin Porter Jr.,HOU,51,15,36,34.1,6.8,2.7,7.1,37.7,1.5,4.3,33.5,47.9
307,Kevon Harris,ORL,31,12,19,12.3,0.2,0.1,0.3,20.0,0.1,0.2,28.6,30.0
308,Kevon Looney,GSW,74,38,36,23.6,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0
309,Khem Birch,SAS,20,9,11,8.1,0.0,0.0,0.0,-,0.0,0.0,-,-
310,Khris Middleton,MIL,28,22,6,24.2,5.0,2.1,5.4,39.5,0.8,2.3,32.8,46.4
311,Killian Hayes,DET,67,15,52,27.4,4.2,2.0,5.3,37.5,0.3,1.1,23.0,39.9
312,Kira Lewis Jr.,NOP,22,9,13,10.1,0.9,0.4,0.9,45.0,0.1,0.2,40.0,50.0
313,Klay Thompson,GSW,62,33,29,33.0,6.1,2.5,6.2,40.5,1.1,2.7,39.1,49.1
314,Kris Dunn,UTA,12,6,6,22.9,0.9,0.4,0.8,55.6,0.1,0.1,100,61.1
315,Kristaps Porzingis,WAS,62,25,37,32.6,3.3,1.5,3.6,43.0,0.2,0.6,28.6,45.3
316,Kyle Anderson,MIN,61,31,30,27.9,1.0,0.4,1.0,42.2,0.1,0.2,46.7,47.7
317,Kyle Kuzma,WAS,64,29,35,35.0,3.7,1.5,4.5,32.8,0.7,2.3,32.0,40.9
318,Kyle Lowry,MIA,49,26,23,32.4,3.2,1.2,3.2,38.9,0.7,2.1,34.7,50.0
319,Kyrie Irving,DAL,53,30,23,37.1,10.6,4.4,9.6,46.0,1.8,4.7,38.0,55.3
320,LaMelo Ball,CHA,36,13,23,35.2,7.8,3.0,8.2,36.7,1.8,5.1,34.8,47.6
321,Lamar Stevens,CLE,54,34,20,17.9,0.6,0.3,0.8,37.2,0.0,0.0,0.0,37.2
322,Landry Shamet,PHX,32,14,18,21.6,2.2,0.8,2.7,29.9,0.6,1.7,32.7,40.2
323,Larry Nance Jr.,NOP,55,27,28,21.5,0.1,0.1,0.2,33.3,0.0,0.0,0.0,33.3
324,Lauri Markkanen,UTA,64,32,32,34.4,2.0,0.9,2.2,40.0,0.3,0.8,30.8,45.7
325,LeBron James,LAL,47,24,23,36.1,5.0,2.1,6.4,32.0,0.8,2.8,29.5,38.4
326,Leandro Bolmaro,UTA,14,8,6,4.9,0.3,0.1,0.4,40.0,0.0,0.0,-,40.0
327,Lindell Wigginton,MIL,3,2,1,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-
328,Lindy Waters III,OKC,35,18,17,12.4,0.6,0.2,0.6,36.4,0.1,0.5,26.3,47.7
329,Lonnie Walker IV,LAL,51,23,28,24.5,1.9,0.8,2.3,35.0,0.3,0.9,28.9,40.6
330,Luguentz Dort,OKC,65,33,32,30.5,1.5,0.6,1.6,36.2,0.3,0.9,31.7,45.2
331,Luka Doncic,DAL,58,31,27,36.4,11.6,4.6,11.9,39.0,2.4,6.9,34.0,49.0
332,Luka Garza,MIN,26,14,12,9.0,0.2,0.1,0.1,66.7,0.0,0.0,-,66.7
333,Luke Kennard,MEM,51,31,20,21.2,1.9,0.8,1.8,41.9,0.3,0.8,40.5,51.1
334,Luke Kornet,BOS,60,38,22,11.6,0.1,0.0,0.1,66.7,0.0,0.0,50.0,83.3
335,Malachi Flynn,TOR,47,24,23,13.1,1.2,0.5,1.7,27.8,0.2,0.8,30.6,34.8
336,Malaki Branham,SAS,57,12,45,22.9,2.5,1.2,2.7,42.3,0.2,0.7,22.5,45.2
337,Malcolm Brogdon,BOS,61,42,19,25.8,4.1,1.6,3.6,45.2,0.9,1.9,44.8,57.0
338,Malcolm Hill,CHI,5,4,1,1.8,0.0,0.0,0.0,-,0.0,0.0,-,-
339,Malik Beasley,LAL,72,38,34,26.6,3.8,1.5,3.9,38.0,0.8,2.3,36.6,48.7
340,Malik Monk,SAC,69,42,27,22.5,2.6,1.0,2.8,35.9,0.6,1.8,31.7,46.1
341,Mamadi Diakite,CLE,18,13,5,6.7,0.2,0.1,0.2,25.0,0.1,0.1,50.0,37.5
342,MarJon Beauchamp,MIL,43,29,14,13.6,1.1,0.4,1.2,34.6,0.2,0.7,32.3,44.2
343,Marcus Morris Sr.,LAC,63,34,29,28.2,3.8,1.8,4.0,43.7,0.3,0.7,36.4,46.9
344,Marcus Smart,BOS,55,39,16,32.5,1.4,0.5,1.7,31.6,0.3,1.0,28.6,40.0
345,Mark Williams,CHA,37,15,22,17.7,0.1,0.0,0.0,100,-,-,-,100
346,Markelle Fultz,ORL,52,25,27,30.1,3.3,1.6,3.7,43.2,0.1,0.3,33.3,44.5
347,Markieff Morris,DAL,32,16,16,9.7,0.5,0.3,0.5,47.1,0.0,0.0,100,50.0
348,Marko Simonovic,CHI,3,1,2,1.5,0.0,0.0,0.0,-,0.0,0.0,-,-
349,Marvin Bagley III,DET,35,6,29,23.3,0.7,0.3,0.9,35.5,0.1,0.2,25.0,38.7
350,Mason Plumlee,LAC,70,22,48,26.9,0.3,0.1,0.2,52.9,-,-,-,52.9
351,Matisse Thybulle,POR,65,37,28,16.1,0.2,0.1,0.2,33.3,0.1,0.2,40.0,50.0
352,Matt Ryan,MIN,33,14,19,9.3,0.4,0.2,0.6,25.0,0.1,0.2,37.5,32.5
353,Matthew Dellavedova,SAC,30,17,13,6.3,0.3,0.1,0.4,33.3,0.1,0.1,50.0,41.7
354,Max Christie,LAL,38,16,22,13.3,0.6,0.3,0.6,47.6,0.1,0.1,66.7,52.4
355,Max Strus,MIA,72,38,34,29.0,1.2,0.4,1.4,31.4,0.3,1.1,28.6,42.2
356,Maxi Kleber,DAL,31,17,14,25.9,0.1,0.0,0.1,25.0,0.0,0.1,0.0,25.0
