,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
110,Malaki Branham,SAS,19,47,44,34.7,1.3,2.9,44.9,47.4,26.0,1.1,2.2,53.0,8.7,0.1,0.7,20.8
111,Jabari Smith Jr.,HOU,19,58,54,26.2,0.9,2.9,33.1,38.0,18.2,0.7,2.0,33.8,8.1,0.3,0.9,31.8
112,Keldon Johnson,SAS,23,54,46,16.2,0.8,2.9,29.2,34.7,9.1,0.5,1.6,32.7,7.2,0.3,1.3,24.6
113,Saddiq Bey,ATL,23,56,51,25.1,0.9,2.8,30.6,39.2,10.6,0.4,1.2,32.2,14.6,0.5,1.6,29.4
114,Malik Monk,SAC,25,58,50,26.0,0.9,2.8,33.5,42.9,9.2,0.4,1.0,41.8,16.8,0.5,1.8,29.1
115,Scottie Barnes,TOR,21,60,56,20.4,0.8,2.7,30.2,34.0,14.2,0.6,1.9,33.0,6.2,0.2,0.8,24.4
116,Landry Shamet,PHX,25,30,25,33.1,0.8,2.7,30.0,41.3,11.6,0.2,0.9,21.5,21.5,0.6,1.7,34.7
117,TyTy Washington Jr.,HOU,21,26,23,48.3,1.0,2.6,36.2,39.9,33.6,0.8,1.9,41.6,14.7,0.2,0.8,23.5
118,Will Barton,TOR,32,41,34,37.8,0.9,2.6,34.3,42.6,16.8,0.5,1.2,39.3,21.0,0.4,1.5,30.1
119,Anthony Davis,LAL,29,38,34,15.0,1.1,2.6,43.9,43.9,14.5,1.1,2.5,45.2,0.5,0.0,0.1,0.0
120,AJ Griffin,ATL,19,58,51,33.9,1.3,2.6,51.0,58.4,23.4,0.9,1.8,52.2,10.5,0.4,0.8,48.1
121,Cameron Johnson,BKN,26,23,22,23.2,1.3,2.5,50.0,57.8,16.4,0.9,1.8,48.9,6.8,0.4,0.7,52.7
