,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
397,Jabari Walker,POR,20,46,21,31.8,0.2,0.7,29.4,38.2,6.5,0.1,0.1,60.0,25.2,0.1,0.6,22.0
398,Taj Gibson,WAS,37,45,24,30.0,0.2,0.7,33.3,39.4,13.6,0.2,0.3,48.5,16.4,0.1,0.4,22.5
399,Trevelin Queen,IND,26,7,3,17.2,0.1,0.7,20.0,30.0,0.0,0.0,0.0,-,17.2,0.1,0.7,19.7
400,Usman Garuba,HOU,21,65,29,29.2,0.4,0.7,53.3,80.0,0.0,0.0,0.0,-,29.2,0.4,0.7,53.6
401,Matthew Dellavedova,SAC,32,29,14,45.5,0.2,0.7,30.0,45.0,0.0,0.0,0.0,-,45.5,0.2,0.7,30.4
402,Thaddeus Young,TOR,34,54,26,18.7,0.1,0.7,18.9,27.0,2.0,0.0,0.1,28.6,16.7,0.1,0.6,18.0
403,Quenton Jackson,WAS,24,3,2,66.7,0.3,0.7,50.0,75.0,0.0,0.0,0.0,-,66.7,0.3,0.7,49.3
404,Tyler Dorsey,DAL,27,3,2,40.0,0.3,0.7,50.0,75.0,0.0,0.0,0.0,-,40.0,0.3,0.7,49.3
405,Raul Neto,CLE,30,45,21,31.9,0.2,0.7,33.3,50.0,0.0,0.0,0.0,-,31.9,0.2,0.7,32.8
406,Jared Rhoden,DET,23,6,2,28.6,0.2,0.7,25.0,37.5,0.0,0.0,0.0,-,28.6,0.2,0.7,25.4
407,Chimezie Metu,SAC,25,58,23,19.4,0.2,0.7,31.6,43.4,2.6,0.1,0.1,55.6,16.8,0.2,0.6,28.1
408,Goga Bitadze,ORL,23,29,14,24.1,0.1,0.7,21.1,28.9,3.8,0.0,0.1,30.0,20.3,0.1,0.6,18.2
409,Jaxson Hayes,NOP,22,43,21,18.7,0.1,0.7,14.3,19.6,0.7,0.0,0.0,100,18.0,0.1,0.6,11.1
410,T.J. McConnell,IND,30,67,30,9.8,0.2,0.6,37.2,52.3,1.6,0.0,0.1,40.0,8.2,0.2,0.5,35.2
411,James Johnson,IND,36,14,7,25.7,0.1,0.6,22.2,33.3,0.0,0.0,0.0,-,25.7,0.1,0.6,21.9
412,Ryan Arcidiacono,POR,28,16,6,58.8,0.3,0.6,50.0,75.0,0.0,0.0,0.0,-,58.8,0.3,0.6,49.2
413,Juan Toscano-Anderson,UTA,29,41,17,28.9,0.2,0.6,30.8,42.3,3.3,0.1,0.1,71.4,25.6,0.1,0.6,26.8
414,Wenyen Gabriel,LAL,25,58,27,15.3,0.2,0.6,27.8,38.9,3.0,0.0,0.1,25.0,12.3,0.1,0.5,28.0
415,Terry Taylor,CHI,23,28,11,25.4,0.1,0.6,23.5,35.3,0.0,0.0,0.0,-,25.4,0.1,0.6,23.0
416,Vit Krejci,ATL,22,23,10,48.3,0.1,0.6,21.4,32.1,0.0,0.0,0.0,-,48.3,0.1,0.6,21.3
417,Trevor Hudgins,HOU,23,5,2,33.3,0.4,0.6,66.7,100.0,0.0,0.0,0.0,-,33.3,0.4,0.6,66.7
418,KZ Okpala,SAC,23,35,16,55.3,0.2,0.6,33.3,50.0,0.0,0.0,0.0,-,55.3,0.2,0.6,33.3
419,Dominick Barlow,SAS,19,17,8,23.8,0.2,0.6,30.0,30.0,14.3,0.2,0.3,51.4,9.5,0.0,0.2,0.0
420,Ryan Rollins,GSW,20,12,4,35.0,0.3,0.6,42.9,64.3,0.0,0.0,0.0,-,35.0,0.3,0.6,43.1
421,Xavier Tillman,MEM,24,52,20,11.8,0.2,0.6,37.9,44.8,6.9,0.1,0.3,39.4,4.9,0.1,0.2,34.8
422,Wendell Moore Jr.,MIN,21,27,11,35.7,0.0,0.6,6.7,10.0,0.0,0.0,0.0,-,35.7,0.0,0.6,7.1
423,Saben Lee,PHX,23,22,7,13.6,0.3,0.6,50.0,75.0,0.0,0.0,0.0,-,13.6,0.3,0.6,49.1
424,Tony Bradley,CHI,25,11,6,54.5,0.3,0.6,50.0,75.0,9.1,0.0,0.1,0.0,45.5,0.3,0.5,60.0
425,McKinley Wright IV,DAL,24,24,11,18.1,0.2,0.5,38.5,57.7,0.0,0.0,0.0,-,18.1,0.2,0.5,38.9
426,Charles Bassey,SAS,22,35,13,14.1,0.2,0.5,36.8,39.5,10.4,0.2,0.4,42.5,3.7,0.0,0.1,21.4
427,Keon Ellis,SAC,23,12,3,46.2,0.3,0.5,50.0,75.0,0.0,0.0,0.0,-,46.2,0.3,0.5,50.0
428,Jack White,DEN,25,16,5,50.0,0.2,0.5,37.5,56.3,0.0,0.0,0.0,-,50.0,0.2,0.5,38.0
429,Nathan Knight,MIN,25,36,13,23.1,0.2,0.5,38.9,58.3,0.0,0.0,0.0,-,23.1,0.2,0.5,38.0
430,Devon Dotson,WAS,23,6,2,33.3,0.2,0.5,33.3,50.0,0.0,0.0,0.0,-,33.3,0.2,0.5,34.0
