,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
211,Jalen Williams,OKC,21,11.8,18.8,62.5,2.7,6.1,45.2,1.9,4.0,46.9,1.5,3.0,49.1,3.6,9.2,38.9,4.8,13.6,35.2
212,Jamal Cain,MIA,24,4.1,6.4,64.0,1.3,2.8,45.5,1.1,2.2,48.3,0.9,1.7,54.5,2.5,5.0,49.2,1.9,7.6,25.3
213,Jamal Murray,DEN,26,14.5,21.3,68.1,2.7,7.2,37.9,2.2,4.9,45.0,1.8,4.1,44.9,3.3,8.9,36.8,4.6,13.6,33.4
214,Jamaree Bouyea,WAS,23,5.8,8.2,70.7,1.4,2.2,63.6,1.2,1.8,66.7,0.5,1.5,33.3,1.6,3.8,42.1,1.8,5.6,32.1
215,James Bouknight,CHA,22,5.7,9.6,58.9,1.5,2.9,51.8,0.8,2.0,41.4,0.6,1.6,35.6,1.7,4.0,42.2,2.3,7.5,31.0
216,James Harden,PHI,33,13.4,20.0,67.1,3.2,7.1,44.8,2.4,5.6,41.8,1.8,4.7,39.5,3.5,9.0,38.5,6.1,17.6,34.8
217,James Johnson,IND,36,2.5,3.7,67.8,0.6,1.7,36.0,0.6,1.5,41.7,0.6,1.4,45.0,0.8,2.2,36.4,1.5,3.9,38.2
218,James Wiseman,DET,22,7.2,10.7,67.3,2.3,4.9,46.0,1.5,2.9,52.1,1.0,2.3,44.3,2.1,5.1,40.9,3.3,8.4,39.7
219,Jared Butler,OKC,22,3.0,4.3,69.2,1.0,3.0,33.3,1.3,2.0,66.7,0.0,0.5,0.0,1.3,3.0,44.4,1.7,5.0,33.3
220,Jared Rhoden,DET,23,5.3,7.5,70.7,1.2,2.3,52.2,0.7,1.6,42.9,0.6,1.6,35.7,0.6,2.0,28.6,1.2,4.7,26.2
221,Jaren Jackson Jr.,MEM,23,9.9,17.7,56.3,2.1,5.7,36.9,1.8,4.7,38.9,1.1,2.9,39.8,3.3,8.8,37.9,4.4,12.8,33.9
222,Jarred Vanderbilt,LAL,24,10.8,16.8,64.3,2.7,5.9,46.6,1.6,3.4,49.2,1.1,2.5,42.8,2.5,6.5,38.8,3.8,10.4,36.0
223,Jarrell Brantley,UTA,26,3.3,7.0,47.6,0.3,2.3,11.1,0.7,1.7,40.0,0.7,1.0,66.7,1.0,4.0,25.0,2.3,6.8,33.3
224,Jarrett Allen,CLE,24,11.5,19.2,60.3,3.0,6.5,45.6,2.1,5.0,42.4,1.6,3.4,45.7,3.7,8.6,43.1,4.5,13.0,34.9
225,Jarrett Culver,ATL,24,7.2,10.6,68.4,1.1,2.6,43.5,0.8,2.3,33.3,0.6,1.9,33.3,1.6,4.0,40.6,2.3,5.7,40.4
226,Jason Preston,LAC,23,3.5,5.3,65.2,0.6,2.0,29.2,1.1,1.7,63.2,0.6,1.3,46.7,0.8,2.1,37.0,1.8,4.1,43.4
227,Javonte Green,CHI,29,5.4,9.3,58.5,1.3,3.3,39.6,0.9,2.2,41.8,0.5,1.5,34.9,1.3,3.7,35.3,2.8,7.2,39.3
228,Jaxson Hayes,NOP,22,5.3,7.7,69.6,1.0,2.4,41.3,0.7,1.7,37.3,0.8,1.5,51.7,1.4,3.6,39.9,2.2,6.8,31.6
229,Jay Huff,WAS,25,1.3,1.8,71.4,0.3,0.5,50.0,0.0,0.0,0.0,0.8,1.5,50.0,0.0,1.3,0.0,0.3,2.5,10.0
230,Jay Scrubb,ORL,22,2.0,2.0,100.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,1.0,0.0,0.0,0.0,0.0
231,Jaylen Brown,BOS,26,13.3,20.4,65.3,3.3,8.4,39.5,2.7,6.1,44.1,2.7,5.5,49.3,3.3,8.6,38.4,6.0,17.7,33.9
232,Jaylen Nowell,MIN,23,8.1,12.3,65.3,1.6,3.8,41.4,1.4,3.1,43.8,0.8,1.9,40.5,2.3,6.2,37.5,2.4,7.0,34.5
233,Jaylin Williams,OKC,20,7.1,10.6,67.2,1.6,3.7,44.3,1.5,3.1,48.3,1.1,2.0,53.3,2.2,5.4,40.7,3.4,8.6,39.7
234,Jayson Tatum,BOS,25,12.9,20.1,64.0,3.8,8.9,43.0,2.8,6.5,43.0,2.6,5.1,50.1,3.7,9.3,39.6,6.2,18.6,33.2
235,Jeenathan Williams,POR,24,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
236,Jeff Dowtin Jr.,TOR,25,3.5,6.0,58.6,1.1,2.6,41.8,0.9,1.8,48.7,0.6,1.2,47.6,1.0,2.5,40.0,1.6,4.0,39.6
