,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
459,Shai Gilgeous-Alexander,OKC,24,4.9,8.2,60.3,1.4,3.2,44.7,2.3,4.3,54.1,0.8,2.0,39.1,0.2,0.8,27.3,0.7,1.8,37.7
460,Shake Milton,PHI,26,1.5,2.5,60.2,0.5,1.1,43.2,0.3,0.7,38.5,0.1,0.3,42.1,0.3,0.8,35.6,0.5,1.1,40.7
461,Shaquille Harrison,POR,29,1.3,3.5,35.7,0.3,0.3,100,0.3,0.3,100.0,0.3,0.5,50.0,0.3,0.5,50.0,0.3,1.3,20.0
462,Simone Fontecchio,UTA,27,0.4,0.9,48.8,0.1,0.5,26.9,0.2,0.4,52.9,0.1,0.3,46.2,0.6,1.6,37.3,0.6,2.2,27.9
463,Skylar Mays,POR,25,1.3,1.8,71.4,0.3,0.8,33.3,1.5,1.8,85.7,0.3,0.5,50.0,1.0,2.8,36.4,1.8,2.5,70.0
464,Spencer Dinwiddie,BKN,30,2.1,3.7,57.8,0.6,1.5,40.2,0.4,1.1,40.0,0.3,0.6,50.0,1.1,2.2,49.7,1.2,3.9,30.5
465,Stanley Johnson,SAS,26,1.1,1.6,65.3,0.3,0.6,44.4,0.2,0.4,45.5,0.0,0.1,0.0,0.4,0.7,52.4,0.3,0.6,47.4
466,Stanley Umude,DET,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
467,Stephen Curry,GSW,35,2.9,4.1,69.8,0.9,2.0,47.2,0.5,1.0,54.5,0.6,1.3,43.2,1.1,2.3,48.4,3.7,8.5,43.5
468,Sterling Brown,LAL,28,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
469,Steven Adams,MEM,29,3.2,5.1,63.4,0.5,1.0,45.5,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Svi Mykhailiuk,CHA,25,0.8,1.2,61.1,0.0,0.5,7.7,0.1,0.2,50.0,0.2,0.3,57.1,0.6,1.3,43.6,0.8,1.8,45.3
471,T.J. McConnell,IND,31,1.9,3.1,61.3,0.9,1.7,51.2,0.5,1.1,46.5,0.1,0.2,76.9,0.2,0.4,44.8,0.2,0.5,40.5
472,T.J. Warren,PHX,29,0.9,1.4,64.4,0.6,1.2,47.1,0.7,1.4,47.5,0.5,0.9,57.6,0.3,0.9,31.6,0.3,0.7,39.3
473,Taj Gibson,WAS,37,0.8,1.2,68.4,0.1,0.3,35.7,0.1,0.3,50.0,0.1,0.3,40.0,0.1,0.3,31.3,0.1,0.2,33.3
474,Talen Horton-Tucker,UTA,22,2.0,3.7,54.7,0.6,1.5,43.8,0.2,0.7,34.9,0.1,0.3,28.6,0.3,1.0,33.8,0.6,2.1,27.1
475,Tari Eason,HOU,21,2.6,4.8,53.9,0.2,0.8,29.2,0.0,0.2,23.5,0.0,0.1,12.5,0.3,0.9,31.9,0.4,1.2,35.4
476,Taurean Prince,MIN,29,1.2,2.0,62.7,0.3,0.7,42.9,0.2,0.3,66.7,0.2,0.3,44.4,0.8,2.1,40.0,0.5,1.4,34.2
477,Terance Mann,LAC,26,2.0,2.9,68.7,0.1,0.5,28.9,0.1,0.4,37.9,0.1,0.2,58.3,0.5,1.5,35.0,0.5,1.1,44.2
478,Terence Davis,SAC,25,0.7,1.3,55.3,0.1,0.2,66.7,0.0,0.1,33.3,0.1,0.3,46.7,0.6,1.5,42.1,0.8,2.2,33.8
479,Terrence Ross,PHX,32,0.3,0.4,63.0,0.2,0.4,50.0,0.4,1.0,41.0,0.7,1.2,55.3,0.7,1.6,43.6,0.9,2.6,34.6
480,Terry Rozier,CHA,29,2.8,5.0,56.1,0.9,2.4,37.0,0.7,1.7,44.8,0.6,1.3,44.0,1.1,3.7,29.9,1.7,4.6,36.6
481,Terry Taylor,CHI,23,1.0,1.5,67.5,0.2,0.4,44.4,0.0,0.1,33.3,0.0,0.0,0.0,0.1,0.4,20.0,0.1,0.3,33.3
482,Thaddeus Young,TOR,34,1.3,1.8,70.4,0.5,1.0,52.7,0.0,0.1,28.6,0.0,0.1,50.0,0.1,0.5,20.0,0.0,0.2,12.5
483,Thanasis Antetokounmpo,MIL,30,0.5,0.8,56.0,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
484,Theo Maledon,CHA,21,0.9,1.7,54.2,0.3,1.0,26.8,0.3,0.7,44.8,0.1,0.1,60.0,0.2,0.3,46.7,0.5,1.7,30.1
485,Theo Pinson,DAL,27,0.1,0.4,33.3,0.0,0.2,20.0,0.0,0.1,50.0,0.0,0.0,0.0,0.2,0.5,46.7,0.3,1.1,27.8
486,Thomas Bryant,DEN,25,2.7,3.6,75.4,0.3,0.7,42.1,0.3,0.6,50.0,0.2,0.4,45.8,0.1,0.4,36.4,0.3,0.6,48.6
487,Tim Hardaway Jr.,DAL,31,0.9,1.7,52.1,0.2,0.7,32.0,0.4,0.8,48.3,0.2,0.8,30.4,1.2,3.0,40.7,1.8,4.7,37.7
488,Tobias Harris,PHI,30,2.6,3.9,66.3,0.7,1.6,45.0,0.5,1.1,44.4,0.2,0.4,50.0,0.8,2.1,38.4,0.9,2.3,40.1
489,Tony Bradley,CHI,25,0.3,0.5,60.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.1,100
490,Torrey Craig,PHX,32,1.3,2.0,62.7,0.2,0.6,36.4,0.1,0.3,30.8,0.1,0.2,28.6,0.7,1.8,39.2,0.6,1.4,38.9
491,Trae Young,ATL,24,2.4,4.6,50.9,1.3,3.0,42.3,1.4,2.5,54.8,0.7,1.5,43.8,0.6,1.9,33.8,1.5,4.3,34.5
492,Tre Jones,SAS,23,2.4,4.1,58.0,0.7,1.8,40.7,0.9,2.2,43.4,0.2,0.5,45.7,0.3,1.1,27.1,0.4,1.3,29.8
493,Tre Mann,OKC,22,0.8,1.4,55.3,0.3,0.9,33.3,0.3,0.6,45.2,0.3,0.5,48.4,0.5,1.2,41.3,0.8,2.7,28.6
494,Trendon Watford,POR,22,1.6,2.5,64.6,0.6,1.1,56.9,0.2,0.4,45.8,0.0,0.0,50.0,0.1,0.3,21.1,0.3,0.7,44.2
