,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
449,Serge Ibaka,MIL,33,3.4,5.6,60.0,2.1,5.1,40.2,1.6,3.1,52.0,0.3,0.9,30.0,0.3,0.4,75.0,0.5,1.2,42.9,2.4,6.3,38.6
450,Seth Curry,BKN,32,7.6,11.9,64.1,2.9,7.1,40.0,1.9,4.5,41.5,0.9,2.1,41.8,0.8,1.9,45.5,1.6,3.7,43.5,3.7,9.9,36.9
451,Shaedon Sharpe,POR,19,9.1,14.1,64.4,2.7,5.4,48.8,1.7,4.2,41.8,0.9,2.3,40.4,0.8,1.8,43.3,1.6,3.9,41.7,4.5,11.6,38.5
452,Shai Gilgeous-Alexander,OKC,24,13.3,20.4,65.1,5.6,12.2,45.8,2.7,6.4,42.2,1.5,4.0,38.4,1.2,3.4,35.9,2.8,7.4,37.2,6.6,18.6,35.8
453,Shake Milton,PHI,26,7.8,11.4,68.2,2.9,6.6,44.4,1.5,4.0,37.1,0.6,1.9,30.2,0.6,1.6,37.7,1.1,3.4,33.6,3.4,10.5,32.5
454,Shaquille Harrison,POR,29,13.0,18.0,72.2,3.0,4.0,75.0,2.0,5.0,40.0,2.0,4.0,50.0,1.0,1.0,100,3.0,5.0,60.0,7.0,15.0,46.7
455,Simone Fontecchio,UTA,27,4.9,7.2,68.0,3.1,6.9,44.2,1.3,2.5,53.2,0.5,1.3,40.4,0.5,1.3,40.4,1.0,2.4,40.4,3.4,8.4,40.1
456,Skylar Mays,POR,25,19.0,23.0,82.6,1.0,2.0,50.0,1.0,2.0,50.0,2.0,5.0,40.0,1.0,4.0,25.0,3.0,9.0,33.3,9.0,15.0,60.0
457,Spencer Dinwiddie,BKN,29,12.4,18.5,66.9,5.5,12.6,43.8,3.5,7.8,44.4,1.3,3.2,41.2,1.2,2.8,42.4,2.5,6.0,41.7,5.4,15.3,35.1
458,Stanley Johnson,SAS,26,6.3,9.7,64.4,2.7,5.7,47.6,1.6,3.7,44.5,0.8,1.6,47.6,0.3,1.0,29.6,1.0,2.4,40.6,2.9,8.2,35.4
459,Stanley Umude,DET,23,1.0,1.0,100,0.0,2.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
460,Stephen Curry,GSW,35,9.6,13.9,68.9,8.6,17.9,47.7,3.4,8.3,40.9,1.3,3.4,39.4,1.0,2.8,34.7,2.3,6.2,37.3,7.1,19.1,37.1
461,Sterling Brown,LAL,28,1.5,3.8,40.0,1.3,2.5,50.0,1.0,1.0,100,0.3,1.0,33.3,1.0,1.5,66.7,0.8,1.5,50.0,1.3,4.8,26.3
462,Steven Adams,MEM,29,9.7,15.5,62.2,3.7,9.1,40.1,2.3,6.1,37.3,1.1,2.5,43.9,0.7,2.0,36.1,1.7,4.3,40.3,5.5,15.5,35.2
463,Svi Mykhailiuk,CHA,25,5.2,8.4,61.1,2.0,4.2,47.3,1.1,3.0,37.8,0.5,1.7,31.3,0.5,1.6,32.1,0.8,2.5,31.7,2.1,5.9,36.1
464,T.J. McConnell,IND,31,8.5,13.1,64.8,2.7,6.0,44.3,1.7,4.2,40.3,0.9,2.3,38.2,0.8,1.9,39.7,1.6,4.2,38.9,3.5,9.7,36.5
465,T.J. Warren,PHX,29,6.2,9.4,65.8,3.1,6.6,46.2,1.1,2.9,36.2,0.6,1.4,44.4,0.6,1.5,43.1,1.1,2.5,43.8,2.5,8.7,28.3
466,Taj Gibson,WAS,37,3.4,4.4,75.6,2.0,4.0,49.2,0.6,1.8,35.7,0.3,1.0,31.4,0.3,1.1,28.1,0.5,1.6,29.9,1.8,4.9,37.1
467,Talen Horton-Tucker,UTA,22,6.5,10.2,63.4,3.7,8.7,42.3,1.7,4.1,42.5,0.9,2.0,42.6,0.5,1.5,35.9,1.3,3.2,39.5,4.2,11.9,35.0
468,Tari Eason,HOU,21,7.4,10.6,69.9,3.2,7.1,45.2,1.3,3.6,36.9,0.9,2.3,38.6,0.5,1.9,28.1,1.4,4.0,33.9,4.8,12.8,37.5
469,Taurean Prince,MIN,29,8.7,12.8,68.0,2.8,7.8,35.8,1.8,4.5,40.9,0.9,2.2,38.9,1.0,2.1,46.5,1.8,4.2,42.5,3.7,10.0,36.9
470,Terance Mann,LAC,26,8.5,12.4,68.4,4.1,9.7,42.1,1.9,4.4,43.7,0.8,2.1,37.7,0.6,1.9,32.4,1.3,3.8,35.1,4.4,12.1,36.7
471,Terence Davis,SAC,25,4.5,6.9,65.5,2.1,4.8,43.9,1.2,2.8,42.8,0.5,1.2,44.3,0.7,1.6,41.0,1.0,2.4,42.4,2.4,6.5,37.5
472,Terrence Ross,PHX,32,7.6,10.9,69.1,3.4,7.2,46.8,2.0,4.2,46.9,0.8,1.9,40.4,0.7,2.0,37.7,1.5,3.8,39.0,3.8,12.3,31.0
473,Terry Rozier,CHA,29,14.0,21.7,64.4,5.7,11.4,49.8,3.6,7.7,46.2,1.2,3.1,37.1,1.5,3.5,42.0,2.6,6.6,39.7,6.0,17.5,34.2
474,Terry Taylor,CHI,23,3.3,5.0,66.7,1.1,2.7,42.6,0.4,1.5,28.9,0.5,1.3,38.1,0.6,1.5,39.3,1.0,2.5,38.8,1.9,4.5,41.6
475,Thaddeus Young,TOR,34,5.9,7.9,74.1,1.8,3.8,47.3,1.0,2.3,41.9,0.8,2.2,39.2,0.7,1.9,36.7,1.5,3.9,38.0,2.8,7.5,36.6
476,Thanasis Antetokounmpo,MIL,30,2.2,3.1,70.0,0.4,1.3,31.6,0.3,0.8,34.8,0.4,0.9,41.7,0.6,1.2,45.5,0.6,1.4,43.5,1.1,2.9,38.2
477,Theo Maledon,CHA,21,6.3,10.0,63.1,3.1,5.8,53.0,1.6,3.3,47.7,0.7,1.6,43.1,0.8,2.1,36.5,1.3,3.3,39.4,3.4,9.5,36.0
478,Theo Pinson,DAL,27,3.1,4.2,73.7,1.3,2.5,51.2,1.0,2.2,45.7,0.2,1.0,23.5,0.5,0.9,52.4,0.6,1.5,39.5,1.0,3.6,27.7
479,Thomas Bryant,DEN,25,7.7,11.1,69.1,3.2,6.8,46.6,2.1,4.6,45.9,0.8,2.1,36.2,0.7,1.7,42.0,1.3,3.4,38.9,3.2,9.7,33.4
480,Tim Hardaway Jr.,DAL,31,10.4,15.5,67.0,4.7,10.5,44.5,3.2,6.9,46.7,1.1,3.1,37.4,1.0,2.7,38.0,2.2,5.8,37.7,5.0,14.9,33.6
481,Tobias Harris,PHI,30,11.6,17.2,67.8,4.5,10.8,41.7,3.3,7.8,43.0,1.0,3.0,32.4,1.0,2.5,39.5,2.0,5.5,35.6,5.8,16.6,34.8
482,Tony Bradley,CHI,25,0.8,1.6,50.0,0.8,1.1,70.0,0.1,0.6,16.7,0.3,0.5,50.0,0.1,0.6,25.0,0.2,0.6,33.3,0.7,2.0,33.3
483,Torrey Craig,PHX,32,8.9,13.1,68.0,4.2,9.2,45.2,2.5,5.8,42.2,0.9,1.9,45.7,0.7,1.7,40.9,1.5,3.4,43.5,4.9,13.6,36.3
484,Trae Young,ATL,24,14.8,22.4,66.1,5.4,12.1,44.5,3.4,7.6,45.1,1.2,3.2,36.3,1.0,2.8,35.3,2.1,5.9,35.8,6.1,17.3,35.3
485,Tre Jones,SAS,23,12.8,18.9,67.9,4.6,9.8,46.8,3.4,7.1,47.6,1.0,2.3,44.8,0.8,2.0,41.3,1.8,4.2,43.2,5.6,14.3,39.0
486,Tre Mann,OKC,22,6.7,10.6,62.8,2.9,6.6,43.9,1.0,2.6,40.4,0.8,2.1,35.9,0.6,1.9,32.5,1.3,3.9,34.3,2.9,8.2,35.7
