Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-01-16,1:00p,Boston Celtics,,Charlotte Hornets,,,,,Spectrum Center,
2023-01-16,2:30p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-01-16,3:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-01-16,3:00p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-16,3:00p,Golden State Warriors,,Washington Wizards,,,,,Capital One Arena,
2023-01-16,3:30p,Miami Heat,,Atlanta Hawks,,,,,State Farm Arena,
2023-01-16,4:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,
2023-01-16,6:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,
2023-01-16,10:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-17,7:30p,Toronto Raptors,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-01-17,8:00p,Brooklyn Nets,,San Antonio Spurs,,,,,AT&T Center,
2023-01-17,9:00p,Portland Trail Blazers,,Denver Nuggets,,,,,Ball Arena,
2023-01-17,10:00p,Philadelphia 76ers,,Los Angeles Clippers,,,,,Crypto.com Arena,
2023-01-18,7:30p,Atlanta Hawks,,Dallas Mavericks,,,,,American Airlines Center,
2023-01-18,7:30p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-18,8:00p,Charlotte Hornets,,Houston Rockets,,,,,Toyota Center,
2023-01-18,8:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,,,FedEx Forum,
2023-01-18,8:00p,Miami Heat,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-01-18,8:00p,Indiana Pacers,,Oklahoma City Thunder,,,,,Paycom Center,
2023-01-18,9:00p,Los Angeles Clippers,,Utah Jazz,,,,,Vivint Arena,
2023-01-18,10:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,Ball Arena,
2023-01-18,10:30p,Sacramento Kings,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-19,3:00p,Chicago Bulls,,Detroit Pistons,,,,,AccorHotels Arena,
2023-01-19,7:30p,Golden State Warriors,,Boston Celtics,,,,,TD Garden,
2023-01-19,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,Target Center,
2023-01-19,10:00p,Brooklyn Nets,,Phoenix Suns,,,,,Footprint Center,
2023-01-19,10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,Moda Center,
2023-01-20,7:00p,New Orleans Pelicans,,Orlando Magic,,,,,Amway Center,
2023-01-20,7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,
2023-01-20,7:30p,Golden State Warriors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-01-20,7:30p,Miami Heat,,Dallas Mavericks,,,,,American Airlines Center,
2023-01-20,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
2023-01-20,9:00p,Indiana Pacers,,Denver Nuggets,,,,,Ball Arena,
2023-01-20,9:00p,Brooklyn Nets,,Utah Jazz,,,,,Vivint Arena,
2023-01-20,10:00p,Memphis Grizzlies,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-20,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-21,5:00p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,
2023-01-21,7:00p,Orlando Magic,,Washington Wizards,,,,,Capital One Arena,
2023-01-21,7:30p,Charlotte Hornets,,Atlanta Hawks,,,,,State Farm Arena,
2023-01-21,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-01-21,8:00p,Houston Rockets,,Minnesota Timberwolves,,,,,Target Center,
2023-01-21,9:00p,Indiana Pacers,,Phoenix Suns,,,,,Footprint Center,
2023-01-21,10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-22,3:30p,New Orleans Pelicans,,Miami Heat,,,,,FTX Arena,
2023-01-22,6:00p,New York Knicks,,Toronto Raptors,,,,,Scotiabank Arena,
2023-01-22,7:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,American Airlines Center,
2023-01-22,8:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,
2023-01-22,8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,
2023-01-22,8:30p,Brooklyn Nets,,Golden State Warriors,,,,,Chase Center,
2023-01-22,9:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,Moda Center,
2023-01-23,7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
2023-01-23,7:00p,Boston Celtics,,Orlando Magic,,,,,Amway Center,
2023-01-23,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
2023-01-23,8:00p,Minnesota Timberwolves,,Houston Rockets,,,,,Toyota Center,
2023-01-23,9:00p,Charlotte Hornets,,Utah Jazz,,,,,Vivint Arena,
2023-01-23,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,Moda Center,
2023-01-23,10:30p,Memphis Grizzlies,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-24,7:00p,Chicago Bulls,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-01-24,7:30p,Boston Celtics,,Miami Heat,,,,,FTX Arena,
2023-01-24,7:30p,Cleveland Cavaliers,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-24,8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-01-24,8:30p,Washington Wizards,,Dallas Mavericks,,,,,American Airlines Center,
2023-01-24,9:00p,Charlotte Hornets,,Phoenix Suns,,,,,Footprint Center,
2023-01-24,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-25,7:00p,Indiana Pacers,,Orlando Magic,,,,,Amway Center,
2023-01-25,7:30p,Brooklyn Nets,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-01-25,8:00p,Washington Wizards,,Houston Rockets,,,,,Toyota Center,
2023-01-25,8:00p,Denver Nuggets,,Milwaukee Bucks,,,,,Fiserv Forum,
